@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
hp6-clima-12 86400 IN A 140.105.29.205
hp6-clima-13 86400 IN A 140.105.29.131
hp6-clima-14 86400 IN A 140.105.29.206
hp6-clima-15 86400 IN A 140.105.29.132
hp6-clima-16 86400 IN A 140.105.29.134
hp6-clima-17 86400 IN A 140.105.29.119
86400 IN A 140.105.29.219
hp6-clima-18 86400 IN A 140.105.29.214
hp6-dip-30 86400 IN A 140.105.39.160
lsf7-1 86400 IN A 140.105.32.151
icts-sabrina-external 86400 IN A 140.105.47.14
mac-video 86400 IN A 140.105.35.25
nb9-19-100 86400 IN A 140.105.19.100
nb9-19-101 86400 IN A 140.105.19.101
nb9-19-102 86400 IN A 140.105.19.102
nb9-19-103 86400 IN A 140.105.19.103
nb9-19-104 86400 IN A 140.105.19.104
nb9-19-105 86400 IN A 140.105.19.105
nb9-19-106 86400 IN A 140.105.19.106
nb9-19-107 86400 IN A 140.105.19.107
nb9-19-108 86400 IN A 140.105.19.108
nb9-19-110 86400 IN A 140.105.19.110
nb9-19-111 86400 IN A 140.105.19.111
nb9-19-112 86400 IN A 140.105.19.112
gforge 86400 IN A 140.105.16.12
nb9-19-114 86400 IN A 140.105.19.114
nb9-19-115 86400 IN A 140.105.19.115
nb9-19-116 86400 IN A 140.105.19.116
nb9-19-117 86400 IN A 140.105.19.117
nb9-19-118 86400 IN A 140.105.19.118
nb9-19-120 86400 IN A 140.105.19.120
nb9-19-121 86400 IN A 140.105.19.121
nb9-19-122 86400 IN A 140.105.19.122
nb9-19-123 86400 IN A 140.105.19.123
nb9-19-124 86400 IN A 140.105.19.124
nb9-19-125 86400 IN A 140.105.19.125
nb9-19-126 86400 IN A 140.105.19.126
nb9-19-127 86400 IN A 140.105.19.127
nb9-19-128 86400 IN A 140.105.19.128
nb9-19-129 86400 IN A 140.105.19.129
nb9-19-131 86400 IN A 140.105.19.131
nb9-19-132 86400 IN A 140.105.19.132
nb9-19-133 86400 IN A 140.105.19.133
